,class,tweet
0,2,As woman complain clean hous amp man alway take trash
1,1,boy dat cold tyga dwn bad cuffin dat hoe 1st place
2,1,dawg ever fuck bitch start cri confus shit
3,1,look like tranni
4,1,shit hear might true might faker bitch told ya
5,1,shit blow claim faith somebodi still fuck hoe
6,1,I sit hate anoth bitch I got much shit go
7,1,caus I tire big bitch come us skinni girl
8,1,amp might get ya bitch back amp
9,1,hobbi includ fight mariam bitch
10,1,keek bitch curv everyon lol I walk convers like smh
11,1,murda gang bitch gang land
12,1,So hoe smoke loser yea go IG
13,1,bad bitch thing like
14,1,bitch get
15,1,bitch nigga miss
16,1,bitch plz whatev
17,1,bitch love
18,1,bitch get cut everyday B
19,1,black bottl amp bad bitch
20,1,broke bitch cant tell noth
21,1,cancel bitch like nino
22,1,cant see hoe wont chang
23,1,fuck bitch dont even suck dick kermit video bout fuck IG
24,1,got ya bitch tip toe hardwood floor
25,1,pussi lip like heaven door
26,1,hoe hit
27,1,met pussi ocean Dr gave pussi pill
28,1,need trippi bitch fuck hennessi
29,1,spend money want bitch busi
30,1,txt old bitch new bitch pussi wetter
31,1,say im back old old bitch would get excit
32,1,aint bout murder game pussi nigga shut
33,1,toe done pussi stink
34,1,im done bitter bitch wrap angri bird app
35,1,ya bitch
36,1,aint noth cut bitch
37,1,ju meet son ya mane ass bitch shot
38,1,lame cri hoe tear clown
39,1,like snoop said 94 dont love hoe
40,2,momma said pussi cat insid doghous
41,1,hate hoe favorit 2mw sevenon
42,1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick
43,1,pimp pimp hoe futur voic
44,1,post pictur pussi get 200 like
45,1,pussi power drug happyhumpday
46,1,quick piec pussi call drive
47,1,run round like brand new pussi bout get fuck
48,1,bitch even worst send guy
49,1,hoe like nigga spend money talk bout
50,1,dont trust nigga bitch
51,1,yall nigga b cuf hoe caus yall aint never bitch
52,1,dodg bullet da bitch I cut pregnant bound thank god
53,1,young pill chamberlain bitch love music
54,1,teanna trump probabl cleaner twitter hoe
55,1,gay nigga wait act like bitch tonight
56,1,ima steal cat n replac pitbul He bitch
57,1,amp gone alway hoe
58,1,son bitch took tic tac I like movi
59,1,I wanna get money fuck model bitch russel simmon
60,1,I probabl mind school much deal bitch ass teacher retweet
61,1,I fuck fag said
62,1,femal think date pussi cute stuff make pussi
63,2,simplyaddictedtoguy woof woof hot scalli lad
64,1,ya ever ask bitch bitch kany voic ye
65,1,u gone bring ur side bitch game know Ya gf friend I swear
66,2,woof woof hot sole
67,2,lemmi eat oreo amp dish one oreo lol
68,1,bitch fuck u mayb get better
69,1,fuck red malon man bitch ass niggah could pleas use complet sentenc
70,2,whi eggplant emoji doe say look like scream lmao
71,1,hennessey venom GT one sexi bitch
72,1,seh pussi wetter shower curtain ahmesehwet lt lmao
73,1,eaglesn everi eagl need see pic I post bitch said racist shit
74,1,Yo fuck skateboard wood push faggot man ball life
75,2,babi monkey bathtim awwww thi soooo ador
76,1,I shit damn skippi lol
77,1,u ever kill ant sidewalk think damn nigga way get pussi No bs must b gt 30 chanc
78,1,0 ring 0 mvp 0 bitch lol
79,1,ppl talk bad ghetto hood kid grow nigga funnnnnnn
80,1,fact tattoo tattoo pussi tattoo nippl
81,1,bitch want act like nigga bad shit aint cuteeee nigga act like bitch
82,1,get worship bitch woof woof
83,1,wow I lost buttcheek pierc yeah hoe
84,1,Ok si rather broke bitch shrug tell work
85,0,queer gaywad
87,1,faggot read tweet dat k even funni lol
88,1,thi bitch ungrat fr lulwhor
89,1,I kidnap yo bitch
90,0,alsarabsss beaner smh tell mexican
91,1,happi birthday nig thank yo
92,1,ur teacher tell u u homework bitch need go
93,1,nigga eat hoe lol hell yea lol john paul nigga said john paul
94,1,would lil ugli bald head bitch stop make make amp weav
95,1,leaf better win damn game I go riot shit earlychristma better start loot nig
96,1,go back school suck dick hoe attend
97,1,On way fuck yo bitch 9 year old
98,1,come never bring food dont car retard
99,1,If richnow show hella tinder hoe Im friend anymor chill I brought like like 8 propl
100,1,bout cowboy shutup pussi
101,1,lmaooooooooooo nigga lt bitch want like depress shit foh
102,1,girl know I spit G shit amp go lbv bitch plz
103,1,let make coupl tweet cuzzo page I get twitter jail lmao bitch trick
104,1,harlem shake excus go full retard 30 second
105,1,amen miley need act like hoe bc emot damag foh
106,1,one loyal femal wayyyyy better hoe idc
107,1,pussi lick pussi meow meow stopwhitepeople2014
108,1,check 12th man cowboysn even faggot ny fan stand
109,1,happen vixen ent bitch got ran threw side like foothil bitch
110,1,im bitch okay nude pat wow
111,0,fuck gay blacklist hoe hold tehgodclan anyway
112,1,fuck wrong bitch nobodi know
113,1,yall shut p make bitch
114,1,I hate I pregnant type bitch
115,1,got bitch DM I ever read em top 3
116,2,basebal season win yanke thi love start
117,1,littl stupid bitch I fuck yoooooouuuu
118,1,realli ask dead ass seriou tho could say bitch wheet lol
119,2,I earli bird I night owl I wise worm
120,2,overdos heavi drug sound bad tonight I pussi shit everi day
121,2,pit bull photograph As love fairi tale creatur fairi tale creatur
122,1,Aw fag tweet aw lol
123,2,As long laker trash I could careless real CC hahaha
124,1,I say anyth tho kiss faggot
125,2,I play soccer cheat girl wear khaki colour cargo haircut yup
126,1,I could go fat ass bitch lap
127,1,17 miss call da yo P O bitch twitter finna screamn freemoneymel
128,1,Ya side bitch gotta know rule shit anybodi ask cousin jersey thinkin bout move lmmfao
129,1,3 amo lo pie fuck yeah
130,1,hoe think meat slap ass ainna bruh
131,1,yall bitch wit edg talk
132,1,yall still go trick treat year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit
133,1,I wanna sex mom fuck right pussi I came damn got hack like fuck
134,1,If kiss u eye open watch bitch lmfao
135,1,woulda coulda shoulda ass hoe
136,1,happi bday bitch ass nigga preciat bitch roll
137,1,use send bitch
138,1,ugli bitch like I wcw duh bitch nobodi els
139,1,nigga know hacki sack hoe nah I throw look pass lmao
141,1,glad I get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
142,2,thi ghetto smart I idc
143,1,I would wife hoe cuz care cheat forc relationship first place
144,1,singl excus hoe
145,1,white boy power bitch black power bitch
146,1,let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill
147,1,bitch u around world back
148,1,I get dick suck yo parti bad bitch I fr gone set
149,1,oomf soooo cute probabl hoe lot
150,1,In everi cartoon alway save hoe lmao lmao damn captain saveaho
151,2,want get nose bad boi scalli chav sockfetish stink hot sox leg
152,1,I wish I bitch like brother keezi ooooow I bet
153,1,If dress cat halloween basic pussi
154,1,pornhub get game stream featur dumb bitch gtfo get katielt 3
155,1,stop scare choke sex u bitch ass nigga like say guy hit women bed foh
156,1,ha well iguess I make hoe loyal bro theyll never loyal hoe nig
157,1,Oh man 5 molli ho fuck ya seed fix
158,1,man refer everi girl bitch
159,1,lmfao cat start beat shit nigga final got pussi MY nigga
160,2,peel peel bring back rewind back I move shaq line ooooow tf said trash
161,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
162,1,naw old tape new cover upcom mixtap kingofthehil yeah I wait hoe mayn
163,1,Ol dirti foot ass bitch funni
164,1,I get yellow flag amaz hell yeah niggi
165,1,got time bitch actin iffi
166,2,ucfpinkparti come stay aliv knight nation thi still earli bird special comeatmeut
167,1,hoe loyal smfh amp wonder nobodi decent want
168,1,bruh stud keep think I soft hell ask ya girl mani time scream bitch Oh okay stfu bye hoe
169,1,dri pussi bitch alway blame condom
170,1,shut yo bitch ass
171,1,gucci mane jail drop mixtap everi month hoe even text back
172,1,love hoe money wat wrong nigga
173,1,A loyal bitch burb without daddi issu like find holograph mewtwo sound like lol
174,1,easi cum easi hoe fact
175,1,charli sheen real major fuck respect charli sheen
176,1,wish I bae got hoe tho
177,1,fuck twerk bitch cook
178,1,bitch wtf
179,1,shut zoe fight pussi zoe I good man good move along
180,1,lmao fuck snake bitch em
181,1,big booti hoe everywher sheesh damn
182,2,stay tune updat report 1B 8 10 week bum
183,2,I play soccer cheat girl wear khaki colour cargo haircut ye lmfao
184,1,oregon choke everi year get field trash ass program rft
185,1,def cowboy lol terrel owen best eagl amp cowboy ever dude cri like bitch tv romo
186,0,lmfaoooo I hate black peopl thi black peopl nigger
187,1,could u bitch potent
188,2,piss lad past I would lick dirti sole slept
189,2,love frat boy w soft long sole
190,2,sexi lad hot sole arch
191,1,nah fam I gotta cheat hoe depend femal feel
192,2,I got hick lol
193,1,thi new twitter confus shit Go back south america bitch
194,1,toto mean ass vagina I think pussi caus toto santi like nasti pussi
195,1,actual choos ugli bitch ass must fat
196,1,bitch kill vibe ya tri di love miley
197,1,I tire bitch say I look mean nigga big af wear tight shirt grim everybodi
198,2,10 bird grandkid may never see thank climat chang climat
199,1,stay beauti bitch
200,1,wutkinda r purpl ceeelee man gurl ju playin stupid hoe track still shit sum gurl
201,1,money get taller bitch get blurri
202,1,I never seen bitch obsess nigga I obsess mine
203,1,kobe stay talk trash let forget I meant one smh
204,0,At least I nigger lmfao
205,1,peopl alway ask I mix bad asian bitch lol
206,0,ariza snake coward least crippl like hero roach lmaoo
207,2,foster home imaginari trash whoa chill show everyth tf
208,1,I lowkey tire tire quiet go sleep hoe
209,1,stop bring weird nigger mention
210,1,We love hoe
211,1,If yo girl cant homeboy ol weak bitch ass nigga
212,1,I think worst advic I gave pussi speed lol
213,1,quot tweet favorit anim pussi
214,1,I hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper
215,1,andrewbry poff doubl vision 2 beer poff doubl pussi smh
216,1,bitch twerk comput ME In ya ya damn
217,1,princ thi art nobodi takin bitch
218,2,61 welfar govern aid claim white peopl So black slander trash
